Reviewer_Name,Review_Count,Avg_Rating,Rating_Range,Max_Reviews_Same_Day,Unique_Days,Unique_Labels,Flag_Velocity,Flag_No_Variance,Flag_High_Volume,Flag_Sentiment_Flip,Suspicion_Score,Suspicion_Tier
Parveen S,1,2.0,0,1,1,1,0,0,0,0,0,Clean
Pechiyammal R,1,5.0,0,1,1,1,0,0,0,0,0,Clean
Prakash S,1,2.0,0,1,1,1,0,0,0,0,0,Clean
Prashanth,1,5.0,0,1,1,1,0,0,0,0,0,Clean
Praveen M,1,1.0,0,1,1,1,0,0,0,0,0,Clean
Preethi S,1,1.0,0,1,1,1,0,0,0,0,0,Clean
Prema R,1,4.0,0,1,1,1,0,0,0,0,0,Clean
Priya Baskar,1,5.0,0,1,1,1,0,0,0,0,0,Clean
Priyadharshini S,1,4.0,0,1,1,1,0,0,0,0,0,Clean
Queen M,1,2.0,0,1,1,1,0,0,0,0,0,Clean
Queen N,1,1.0,0,1,1,1,0,0,0,0,0,Clean
R Mohanamurali,1,5.0,0,1,1,1,0,0,0,0,0,Clean
Radha S,1,2.0,0,1,1,1,0,0,0,0,0,Clean
Raghavan Raghu,1,5.0,0,1,1,1,0,0,0,0,0,Clean
Rajalakshmi S,1,2.0,0,1,1,1,0,0,0,0,0,Clean
Rajamani K,1,2.0,0,1,1,1,0,0,0,0,0,Clean
Rajan T,1,2.0,0,1,1,1,0,0,0,0,0,Clean
Rajeev Rajendran,1,4.0,0,1,1,1,0,0,0,0,0,Clean
Rajesh Ragi,1,5.0,0,1,1,1,0,0,0,0,0,Clean
Rajeswari S,1,4.0,0,1,1,1,0,0,0,0,0,Clean
Rajiv B,1,2.0,0,1,1,1,0,0,0,0,0,Clean
Ram achandran,1,5.0,0,1,1,1,0,0,0,0,0,Clean
Ramesh Maha,1,5.0,0,1,1,1,0,0,0,0,0,Clean
Ramya Asok,1,5.0,0,1,1,1,0,0,0,0,0,Clean
Rani S,1,1.0,0,1,1,1,0,0,0,0,0,Clean
Redha,1,5.0,0,1,1,1,0,0,0,0,0,Clean
Rekha N,1,2.0,0,1,1,1,0,0,0,0,0,Clean
Revathi P,1,1.0,0,1,1,1,0,0,0,0,0,Clean
Revathy M,1,5.0,0,1,1,1,0,0,0,0,0,Clean
S. Annapoorani,1,5.0,0,1,1,1,0,0,0,0,0,Clean
Sakunthala M,1,2.0,0,1,1,1,0,0,0,0,0,Clean
Sangeetha L,1,2.0,0,1,1,1,0,0,0,0,0,Clean
Sanjeev Gunasekaran,1,5.0,0,1,1,1,0,0,0,0,0,Clean
Saraswathi V,1,2.0,0,1,1,1,0,0,0,0,0,Clean
Saravanakumar Kanapathy,1,5.0,0,1,1,1,0,0,0,0,0,Clean
Saroja K,1,3.0,0,1,1,1,0,0,0,0,0,Clean
Sathish K,1,2.0,0,1,1,1,0,0,0,0,0,Clean
Savitha M,1,2.0,0,1,1,1,0,0,0,0,0,Clean
Seethalakshmi M,1,5.0,0,1,1,1,0,0,0,0,0,Clean
Selvam K,1,2.0,0,1,1,1,0,0,0,0,0,Clean
Senthil V,1,1.0,0,1,1,1,0,0,0,0,0,Clean
Shalini D,1,2.0,0,1,1,1,0,0,0,0,0,Clean
Shanthi Dhara shri,1,5.0,0,1,1,1,0,0,0,0,0,Clean
Shanthi S,1,4.0,0,1,1,1,0,0,0,0,0,Clean
Shoba Krishna kanthan,1,5.0,0,1,1,1,0,0,0,0,0,Clean
Sindhu Kavi T,1,3.0,0,1,1,1,0,0,0,0,0,Clean
Sindhuja Jayaraman,1,5.0,0,1,1,1,0,0,0,0,0,Clean
Siva M,1,5.0,0,1,1,1,0,0,0,0,0,Clean
Sivakumar O S,1,5.0,0,1,1,1,0,0,0,0,0,Clean
Sivneshwar Duraikannan,1,5.0,0,1,1,1,0,0,0,0,0,Clean
Sreshta Hari,1,5.0,0,1,1,1,0,0,0,0,0,Clean
Sruthi Guna,1,5.0,0,1,1,1,0,0,0,0,0,Clean
Swathi,1,5.0,0,1,1,1,0,0,0,0,0,Clean
Swetha K,1,5.0,0,1,1,1,0,0,0,0,0,Clean
Tamilselvi K,1,2.0,0,1,1,1,0,0,0,0,0,Clean
Teena Cookie,1,5.0,0,1,1,1,0,0,0,0,0,Clean
Thangam P,1,2.0,0,1,1,1,0,0,0,0,0,Clean
Thayammal K,1,4.0,0,1,1,1,0,0,0,0,0,Clean
Thenmozhi P,1,2.0,0,1,1,1,0,0,0,0,0,Clean
Thilaga K,1,2.0,0,1,1,1,0,0,0,0,0,Clean
Thilagavathi R,1,2.0,0,1,1,1,0,0,0,0,0,Clean
Udayalakshmi R,1,5.0,0,1,1,1,0,0,0,0,0,Clean
Uma P,1,1.0,0,1,1,1,0,0,0,0,0,Clean
Uma V,1,3.0,0,1,1,1,0,0,0,0,0,Clean
Umadevi S,1,2.0,0,1,1,1,0,0,0,0,0,Clean
Umarani V,1,2.0,0,1,1,1,0,0,0,0,0,Clean
Umaselvi Maruthaiah,1,5.0,0,1,1,1,0,0,0,0,0,Clean
Umayal R,1,3.0,0,1,1,1,0,0,0,0,0,Clean
Usha R,1,2.0,0,1,1,1,0,0,0,0,0,Clean
Valliammai S,1,3.0,0,1,1,1,0,0,0,0,0,Clean
Vasanth M,1,2.0,0,1,1,1,0,0,0,0,0,Clean
Vasantha M,1,4.0,0,1,1,1,0,0,0,0,0,Clean
Venkat Prashanth,1,5.0,0,1,1,1,0,0,0,0,0,Clean
Venkatesh M,1,1.0,0,1,1,1,0,0,0,0,0,Clean
Vennila S,1,2.0,0,1,1,1,0,0,0,0,0,Clean
Vignesh A,1,2.0,0,1,1,1,0,0,0,0,0,Clean
Vignesh kumar Prakash,1,5.0,0,1,1,1,0,0,0,0,0,Clean
Vijayabaskar Manoharan,1,4.0,0,1,1,1,0,0,0,0,0,Clean
Vijayalakshmi M,1,2.0,0,1,1,1,0,0,0,0,0,Clean
Viji Balasubramanian,1,5.0,0,1,1,1,0,0,0,0,0,Clean
Vishnu Prasath,1,5.0,0,1,1,1,0,0,0,0,0,Clean
Waheeda K,1,2.0,0,1,1,1,0,0,0,0,0,Clean
Wahida S,1,2.0,0,1,1,1,0,0,0,0,0,Clean
Watsa K,1,2.0,0,1,1,1,0,0,0,0,0,Clean
Wesly R,1,2.0,0,1,1,1,0,0,0,0,0,Clean
Wilma K,1,2.0,0,1,1,1,0,0,0,0,0,Clean
Xavier K,1,2.0,0,1,1,1,0,0,0,0,0,Clean
Xavier Raja,1,3.0,0,1,1,1,0,0,0,0,0,Clean
Xavierammal R,1,2.0,0,1,1,1,0,0,0,0,0,Clean
Ximena R,1,2.0,0,1,1,1,0,0,0,0,0,Clean
Yamini M,1,2.0,0,1,1,1,0,0,0,0,0,Clean
Yamuna R,1,2.0,0,1,1,1,0,0,0,0,0,Clean
Yamunadevi S,1,2.0,0,1,1,1,0,0,0,0,0,Clean
Yashoda S,2,2.5,1,1,2,1,0,0,0,0,0,Clean
Yazhini K,1,4.0,0,1,1,1,0,0,0,0,0,Clean
Yeshwant Rajchander,1,5.0,0,1,1,1,0,0,0,0,0,Clean
Yonika Bose,1,4.0,0,1,1,1,0,0,0,0,0,Clean
Zahira M,1,1.0,0,1,1,1,0,0,0,0,0,Clean
Zainab R,1,2.0,0,1,1,1,0,0,0,0,0,Clean
Zareena M,1,2.0,0,1,1,1,0,0,0,0,0,Clean
Zeenath R,1,3.0,0,1,1,1,0,0,0,0,0,Clean
Zohra K,1,2.0,0,1,1,1,0,0,0,0,0,Clean
Zubair S,1,2.0,0,1,1,1,0,0,0,0,0,Clean
arul selvaraj,1,4.0,0,1,1,1,0,0,0,0,0,Clean
bhuaneswaran palaniyandi,1,5.0,0,1,1,1,0,0,0,0,0,Clean
chandra sekaran,1,5.0,0,1,1,1,0,0,0,0,0,Clean
dhilip rani,1,5.0,0,1,1,1,0,0,0,0,0,Clean
gautham ravi,1,5.0,0,1,1,1,0,0,0,0,0,Clean
hariharan .s,1,5.0,0,1,1,1,0,0,0,0,0,Clean
k p Sriram,1,5.0,0,1,1,1,0,0,0,0,0,Clean
kannan dsp,1,5.0,0,1,1,1,0,0,0,0,0,Clean
kavi malar,1,5.0,0,1,1,1,0,0,0,0,0,Clean
mohan rangan,1,5.0,0,1,1,1,0,0,0,0,0,Clean
nivetha devarajan,1,4.0,0,1,1,1,0,0,0,0,0,Clean
parvathy priya,1,5.0,0,1,1,1,0,0,0,0,0,Clean
seenivasan ramanujam,1,5.0,0,1,1,1,0,0,0,0,0,Clean
senthil kumaran,1,5.0,0,1,1,1,0,0,0,0,0,Clean
shahnaaz sayima,1,5.0,0,1,1,1,0,0,0,0,0,Clean
shanmuga priya,1,4.0,0,1,1,1,0,0,0,0,0,Clean
sridhar,1,5.0,0,1,1,1,0,0,0,0,0,Clean
subashini pandiyan,1,3.0,0,1,1,1,0,0,0,0,0,Clean
sumithra B,1,5.0,0,1,1,1,0,0,0,0,0,Clean
suriya gunasekaran,1,5.0,0,1,1,1,0,0,0,0,0,Clean
vanitha mariappan,1,5.0,0,1,1,1,0,0,0,0,0,Clean
vijayalakshmi R,1,4.0,0,1,1,1,0,0,0,0,0,Clean
